,Event,Site,Date,Round,Time Control,Time,Color,Opening move,Opponent,Opponent location,Current Rank,Opponent Rank,Result,Reason,Hour,Previously played that day
211,Live Chess,Chess.com,2018.09.24,-,300+5,23:46:40,Black,d4,sureshthir,India,610,678,Won,Resignation,23,34
212,Live Chess,Chess.com,2018.09.25,-,300+5,11:54:42,White,d4,pthain55,United States,606,800,Lost,Checkmate,11,0
213,Live Chess,Chess.com,2018.09.25,-,300+5,12:10:52,Black,e4,rKoaKram,Sri Lanka,617,729,Won,Time,12,1
214,Live Chess,Chess.com,2018.09.25,-,300+5,14:54:28,Black,d4,celalbagis,Turkey,628,717,Won,Checkmate,14,2
215,Live Chess,Chess.com,2018.09.25,-,300+5,15:11:41,Black,e3,stefydaza,Venezuela,622,741,Lost,Resignation,15,3
216,Live Chess,Chess.com,2018.09.25,-,300+5,15:28:11,White,d4,AK-69,Brazil,613,577,Lost,Checkmate,15,4
217,Live Chess,Chess.com,2018.09.25,-,300+5,15:50:18,Black,e4,imperfectperfect,Canada,606,666,Lost,Resignation,15,5
218,Live Chess,Chess.com,2018.09.25,-,300+5,16:03:37,White,d4,Manu172,Italy,600,681,Lost,Resignation,16,6
219,Live Chess,Chess.com,2018.09.25,-,300+5,16:38:12,White,d4,saimon_saimon,Russia,605,453,Won,Checkmate,16,7
220,Live Chess,Chess.com,2018.09.25,-,300+5,17:11:11,White,d4,KsyushaPoboykina,Russia,613,591,Won,Resignation,17,8
221,Live Chess,Chess.com,2018.09.25,-,300+5,17:16:16,White,d4,jcmr0425,Mexico,623,696,Won,Resignation,17,9
222,Live Chess,Chess.com,2018.09.25,-,300+5,17:46:18,Black,d4,gelchin1,Azerbaijan,620,788,Lost,Resignation,17,11
223,Live Chess,Chess.com,2018.09.25,-,300+5,17:57:02,Black,e4,PakV_V,Kazakhstan,615,755,Lost,Resignation,17,12
224,Live Chess,Chess.com,2018.09.25,-,300+5,22:20:16,White,d4,Vichiiin,Chile,609,711,Lost,Resignation,22,13
225,Live Chess,Chess.com,2018.09.25,-,300+5,22:31:55,Black,e4,simki16,Namibia,619,687,Won,Resignation,22,14
226,Live Chess,Chess.com,2018.09.25,-,300+5,22:44:28,White,d4,Malte333,Germany,612,653,Lost,Checkmate,22,15
227,Live Chess,Chess.com,2018.09.26,-,300+5,16:52:16,Black,g3,onurakay,Turkey,604,626,Lost,Resignation,16,0
228,Live Chess,Chess.com,2018.09.27,-,300+5,15:16:55,Black,e4,jellychocrip,New Zealand,601,718,Lost,Resignation,15,0
229,Live Chess,Chess.com,2018.09.27,-,300+5,16:30:34,White,d4,carlitoscast,Spain,598,671,Lost,Resignation,16,1
230,Live Chess,Chess.com,2018.09.27,-,300+5,16:38:31,White,d3,Rossaj,United Kingdom,600,452,Won,Resignation,16,2
231,Live Chess,Chess.com,2018.09.28,-,300+5,22:30:57,White,d3,junevalley,Ukraine,595,750,Lost,Resignation,22,0
232,Live Chess,Chess.com,2018.09.28,-,300+5,22:53:25,White,d4,LoyalGuardian,Australia,605,665,Won,Resignation,22,1
233,Live Chess,Chess.com,2018.09.29,-,300+5,13:23:25,White,d4,shubham-m,India,601,813,Lost,Resignation,13,0
234,Live Chess,Chess.com,2018.09.29,-,300+5,14:20:44,Black,d4,iedereen,United Kingdom,595,682,Lost,Checkmate,14,1
235,Live Chess,Chess.com,2018.09.29,-,300+5,16:33:30,Black,e4,AdhHadi,Germany,600,476,Won,Resignation,16,2
236,Live Chess,Chess.com,2018.09.29,-,300+5,16:38:36,White,d4,DamianoMammone,Italy,592,612,Lost,Resignation,16,3
237,Live Chess,Chess.com,2018.09.29,-,300+5,20:38:05,Black,d4,dimkaragian,Greece,586,759,Lost,Resignation,20,5
238,Live Chess,Chess.com,2018.09.29,-,300+5,20:55:28,White,d4,rajpratik10,India,596,665,Won,Resignation,20,6
239,Live Chess,Chess.com,2018.09.29,-,300+5,21:05:35,White,d4,Doggies33,United States,608,758,Won,Resignation,21,7
240,Live Chess,Chess.com,2018.09.29,-,300+5,21:24:22,Black,d4,priyanshu2147,India,618,688,Won,Checkmate,21,8
241,Live Chess,Chess.com,2018.09.29,-,300+5,21:39:23,White,d4,yagelandaviram,Israel,627,625,Won,Time,21,9
242,Live Chess,Chess.com,2018.09.29,-,300+5,21:46:13,White,d4,ansl13,United States,635,566,Won,Game abandoned,21,10
243,Live Chess,Chess.com,2018.09.29,-,300+5,22:01:05,White,d4,ne11,Israel,641,523,Won,Time,22,11
244,Live Chess,Chess.com,2018.09.30,-,300+5,01:22:40,Black,e4,Jose0987,Costa Rica,633,648,Lost,Resignation,1,12
245,Live Chess,Chess.com,2018.09.30,-,300+5,01:34:42,Black,e4,kaspona,United States,624,597,Lost,Resignation,1,13
246,Live Chess,Chess.com,2018.09.30,-,300+5,11:26:28,Black,e4,0353PC,United Kingdom,618,727,Lost,Resignation,11,0
247,Live Chess,Chess.com,2018.09.30,-,300+5,11:34:37,White,d4,AkifBilgiseven,Turkey,613,769,Lost,Checkmate,11,1
248,Live Chess,Chess.com,2018.09.30,-,300+5,11:40:24,Black,e3,Ganesh7122,India,607,699,Lost,Resignation,11,2
249,Live Chess,Chess.com,2018.09.30,-,300+5,12:00:05,White,d4,Shadoroth,Canada,600,680,Lost,Checkmate,12,3
250,Live Chess,Chess.com,2018.09.30,-,300+5,12:49:27,Black,e4,xandemeia66,Brazil,595,736,Lost,Resignation,12,4
251,Live Chess,Chess.com,2018.09.30,-,300+5,22:04:07,Black,e4,GioTRD,Norway,585,515,Lost,Resignation,22,5
252,Live Chess,Chess.com,2018.10.01,-,300+5,11:04:34,White,d4,AmandaSee,United States,593,557,Won,Time,11,0
253,Live Chess,Chess.com,2018.10.01,-,300+5,11:34:35,White,d4,ExpensiveLion123,Germany,600,540,Won,Checkmate,11,1
254,Live Chess,Chess.com,2018.10.01,-,300+5,14:20:23,White,d4,svbaregar,India,596,783,Lost,Resignation,14,2
255,Live Chess,Chess.com,2018.10.01,-,300+5,15:54:19,Black,e4,sadeghonlin,Iran,590,703,Lost,Checkmate,15,3
256,Live Chess,Chess.com,2018.10.05,-,300+5,00:29:20,Black,e4,hdnK,Germany,583,650,Lost,Resignation,0,4
257,Live Chess,Chess.com,2018.10.05,-,300+5,00:48:32,Black,e4,tolik1306,Russia,577,692,Lost,Resignation,0,5
258,Live Chess,Chess.com,2018.10.05,-,300+5,01:04:02,White,d4,FischerKadir,Turkey,570,623,Lost,Checkmate,1,6
259,Live Chess,Chess.com,2018.10.05,-,300+5,01:18:44,Black,d4,johnywolves,Mexico,582,739,Won,Resignation,1,7
260,Live Chess,Chess.com,2018.10.05,-,300+5,01:33:16,White,d4,Tailtimer,Canada,592,667,Won,Time,1,8
261,Live Chess,Chess.com,2018.10.05,-,300+5,01:47:46,Black,c4,Nicogomez174,Argentina,581,472,Lost,Resignation,1,9
262,Live Chess,Chess.com,2018.10.09,-,300+5,00:35:50,White,d4,Aukabarrios,France,590,612,Won,Game abandoned,0,10
263,Live Chess,Chess.com,2018.10.09,-,300+5,00:42:07,Black,e4,kevinmcnamara,United States,581,573,Lost,Checkmate,0,11
264,Live Chess,Chess.com,2018.10.09,-,300+5,10:19:27,White,d4,eric-liu,Australia,576,712,Lost,Checkmate,10,0
265,Live Chess,Chess.com,2018.10.09,-,300+5,17:41:14,White,d4,IsaacGonzalez404,Mexico,567,529,Lost,Checkmate,17,1
266,Live Chess,Chess.com,2018.10.15,-,300+5,21:44:28,Black,e4,ShainaRodkin,Israel,566,709,Lost,Resignation,21,1
267,Live Chess,Chess.com,2018.10.15,-,300+5,22:16:26,Black,e4,curtrad,Cameroon,572,475,Won,Resignation,22,2
268,Live Chess,Chess.com,2018.10.15,-,300+5,22:32:28,Black,e4,camafeo0,Argentina,582,658,Won,Time,22,3
269,Live Chess,Chess.com,2018.10.15,-,300+5,22:39:44,White,d4,AndrewBM,United States,592,644,Won,Resignation,22,4
270,Live Chess,Chess.com,2018.10.15,-,300+5,22:51:35,Black,d4,pcunningham,United States,599,533,Won,Resignation,22,5
271,Live Chess,Chess.com,2018.10.15,-,300+5,23:24:59,White,d4,JeremyGeiger1,United States,606,724,Won,Checkmate,23,7
272,Live Chess,Chess.com,2018.10.15,-,300+5,23:38:05,White,d4,diegoeduedu,Chile,616,688,Won,Resignation,23,8
273,Live Chess,Chess.com,2018.10.15,-,300+5,23:47:36,Black,e4,coachyoast,Canada,609,685,Lost,Resignation,23,9
274,Live Chess,Chess.com,2018.10.16,-,300+5,00:01:30,White,d4,johnkinnell84,United Kingdom,618,647,Won,Resignation,0,10
275,Live Chess,Chess.com,2018.10.16,-,300+5,00:09:08,White,d4,paindemie,France,627,637,Won,Resignation,0,11
276,Live Chess,Chess.com,2018.10.16,-,300+5,00:26:06,Black,d4,ilkcan97,Turkey,637,700,Won,Checkmate,0,12
277,Live Chess,Chess.com,2018.10.16,-,300+5,00:36:02,White,d4,Acthompson,United States,645,643,Won,Resignation,0,13
278,Live Chess,Chess.com,2018.10.16,-,300+5,00:56:38,White,d4,DeezNutzinyomoufhoe,United States,653,626,Won,Time,0,14
279,Live Chess,Chess.com,2018.10.16,-,300+5,01:12:25,Black,e4,JJzulu,Colombia,659,544,Won,Resignation,1,15
280,Live Chess,Chess.com,2018.10.16,-,300+5,01:29:26,Black,e4,space_baboon,France,653,756,Lost,Resignation,1,16
281,Live Chess,Chess.com,2018.10.16,-,300+5,01:41:48,White,d4,rapuyu,France,660,592,Won,Time,1,17
282,Live Chess,Chess.com,2018.10.16,-,300+5,01:55:28,Black,e4,diegoeduedu,Chile,653,695,Lost,Checkmate,1,18
283,Live Chess,Chess.com,2018.10.16,-,300+5,01:59:01,Black,e4,hamada768,Egypt,645,710,Lost,Checkmate,1,19
284,Live Chess,Chess.com,2018.10.16,-,300+5,02:31:19,Black,g3,Cukalu817,United States,639,750,Lost,Resignation,2,20
285,Live Chess,Chess.com,2018.10.16,-,300+5,02:50:07,White,d4,neilgallian,United States,633,741,Lost,Resignation,2,21
286,Live Chess,Chess.com,2018.10.16,-,300+5,04:44:01,White,d4,a2yushch3ss,Singapore,639,479,Won,Checkmate,4,0
287,Live Chess,Chess.com,2018.10.16,-,300+5,14:17:14,White,d4,As7ar7as,Bulgaria,644,491,Won,Resignation,14,1
288,Live Chess,Chess.com,2018.10.16,-,300+5,14:27:18,Black,d4,PreetamKirpalani,India,655,752,Won,Resignation,14,2
289,Live Chess,Chess.com,2018.10.16,-,300+5,15:50:23,White,d4,bradyohanley,Canada,665,731,Won,Checkmate,15,3
290,Live Chess,Chess.com,2018.10.16,-,300+5,16:33:03,White,d4,MariyamShiuna,Maldives,659,754,Lost,Checkmate,16,4
291,Live Chess,Chess.com,2018.10.16,-,300+5,16:50:21,Black,d3,sivathmika,India,649,601,Lost,Resignation,16,5
292,Live Chess,Chess.com,2018.10.16,-,300+5,17:34:24,Black,e4,Noamzaid,Israel,641,653,Lost,Resignation,17,6
293,Live Chess,Chess.com,2018.10.16,-,300+5,17:47:33,White,d4,lcarlsmgee,United States,634,708,Lost,Resignation,17,7
294,Live Chess,Chess.com,2018.10.16,-,300+5,18:00:07,Black,e4,Russellp1981,United Kingdom,644,694,Won,Game abandoned,18,8
295,Live Chess,Chess.com,2018.10.16,-,300+5,18:07:22,Black,e4,rodcdo06,Colombia,632,466,Lost,Checkmate,18,9
296,Live Chess,Chess.com,2018.10.17,-,300+5,13:48:06,White,d4,youssef-1,Syria,626,732,Lost,Checkmate,13,0
297,Live Chess,Chess.com,2018.10.17,-,300+5,21:26:44,White,d4,danielpavlov288,Israel,637,735,Won,Resignation,21,2
298,Live Chess,Chess.com,2018.10.17,-,300+5,21:45:45,Black,e4,rajdem,United States,646,668,Won,Resignation,21,3
299,Live Chess,Chess.com,2018.10.17,-,300+5,22:18:39,White,d4,8960400842,India,654,645,Won,Checkmate,22,4
300,Live Chess,Chess.com,2018.10.18,-,300+5,00:26:14,White,d4,Soultaken,United States,648,727,Lost,Resignation,0,5
301,Live Chess,Chess.com,2018.10.18,-,300+5,00:39:18,Black,e4,pablo14845,Argentina,641,678,Lost,Resignation,0,6
302,Live Chess,Chess.com,2018.10.18,-,300+5,01:37:40,Black,e4,KrrHo,Slovenia,636,789,Lost,Checkmate,1,7
303,Live Chess,Chess.com,2018.10.18,-,300+5,01:44:10,Black,e4,FabiFicker,Germany,631,789,Lost,Checkmate,1,8
304,Live Chess,Chess.com,2018.10.18,-,300+5,01:52:13,White,d4,jaybee29,United States,640,670,Won,Resignation,1,9
305,Live Chess,Chess.com,2018.10.18,-,300+5,02:10:15,Black,d4,DanielOmerorigdiuri,Israel,652,802,Won,Checkmate,2,10
306,Live Chess,Chess.com,2018.10.18,-,300+5,02:30:50,Black,d4,hazemkhaled001,Egypt,645,709,Lost,Resignation,2,11
307,Live Chess,Chess.com,2018.10.18,-,300+5,02:34:25,White,d4,nasserA11,Egypt,636,603,Lost,Resignation,2,12
308,Live Chess,Chess.com,2018.10.18,-,300+5,02:51:11,Black,e4,FRAFLE,Colombia,626,536,Lost,Checkmate,2,13
309,Live Chess,Chess.com,2018.10.18,-,300+5,14:20:34,White,d4,Shyvan,Poland,633,587,Won,Checkmate,14,0
310,Live Chess,Chess.com,2018.10.18,-,300+5,14:32:50,White,d4,Tugraldemir,Turkey,641,619,Won,Resignation,14,1
311,Live Chess,Chess.com,2018.10.18,-,300+5,14:52:38,White,d4,TheDiscoKing,United States,648,575,Won,Resignation,14,2
312,Live Chess,Chess.com,2018.10.18,-,300+5,15:11:32,White,d4,collinwalk,United States,657,676,Won,Checkmate,15,3
313,Live Chess,Chess.com,2018.10.18,-,300+5,15:36:36,Black,e4,Mr_Viljar,Norway,662,498,Won,Resignation,15,4
314,Live Chess,Chess.com,2018.10.18,-,300+5,15:44:59,Black,e4,bmeka,Sweden,654,677,Lost,Resignation,15,5
315,Live Chess,Chess.com,2018.10.18,-,300+5,16:29:43,Black,e4,Pudjy,Cape Verde,664,732,Won,Time,16,6
316,Live Chess,Chess.com,2018.10.18,-,300+5,18:21:58,White,d4,Rrr1235,Andorra,657,727,Lost,Resignation,18,7
317,Live Chess,Chess.com,2018.10.18,-,300+5,18:28:48,Black,e4,Chiquen04,United States,665,645,Won,Resignation,18,8
318,Live Chess,Chess.com,2018.10.18,-,300+5,18:49:26,Black,d4,wimeas,United States,655,599,Lost,Resignation,18,9
319,Live Chess,Chess.com,2018.10.18,-,300+5,19:35:44,White,d4,bako6643,Greece,647,685,Lost,Checkmate,19,10
320,Live Chess,Chess.com,2018.10.18,-,300+5,19:52:23,Black,d4,HatinAssPawmBishop,United States,655,645,Won,Resignation,19,11
321,Live Chess,Chess.com,2018.10.18,-,300+5,20:06:41,White,d4,anya1515,Germany,648,700,Lost,Time,20,12
322,Live Chess,Chess.com,2018.10.18,-,300+5,20:13:16,White,d4,lill23,Norway,655,577,Won,Resignation,20,13
323,Live Chess,Chess.com,2018.10.18,-,300+5,21:07:03,White,d4,gouransh,India,665,736,Won,Checkmate,21,14
324,Live Chess,Chess.com,2018.10.18,-,300+5,21:20:47,White,d4,mitirun,France,654,545,Lost,Resignation,21,15
325,Live Chess,Chess.com,2018.10.19,-,300+5,01:02:47,White,d4,rjbarbz,India,645,611,Lost,Checkmate,1,16
326,Live Chess,Chess.com,2018.10.19,-,300+5,15:37:38,Black,e4,Ali_Iranov,Kazakhstan,653,617,Won,Checkmate,15,0
327,Live Chess,Chess.com,2018.10.19,-,300+5,15:50:58,Black,e4,Lord_Basico,Portugal,661,638,Won,Resignation,15,1
328,Live Chess,Chess.com,2018.10.19,-,300+5,16:17:17,White,d4,joonapoona,Finland,669,658,Won,Resignation,16,2
329,Live Chess,Chess.com,2018.10.19,-,300+5,16:31:28,Black,e4,Phenochromocytoma,Australia,663,795,Lost,Checkmate,16,3
330,Live Chess,Chess.com,2018.10.19,-,300+5,16:40:38,Black,e3,camp8809,United States,674,775,Won,Game abandoned,16,4
331,Live Chess,Chess.com,2018.10.19,-,300+5,16:59:33,Black,d4,cheekripperr,United States,679,546,Won,Resignation,16,5
332,Live Chess,Chess.com,2018.10.19,-,300+5,17:35:17,White,d4,Captaintriton,France,670,644,Lost,Resignation,17,6
333,Live Chess,Chess.com,2018.10.19,-,300+5,17:53:39,Black,e4,Theleb97,France,680,758,Won,Resignation,17,7
334,Live Chess,Chess.com,2018.10.19,-,300+5,18:28:42,White,d4,sivathmika,India,687,648,Won,Resignation,18,8
335,Live Chess,Chess.com,2018.10.19,-,300+5,20:05:12,Black,d4,polynomialsea,United States,694,620,Won,Resignation,20,9
336,Live Chess,Chess.com,2018.10.19,-,300+5,20:20:01,Black,d4,Sud_Suryawanshi,India,689,847,Lost,Resignation,20,10
337,Live Chess,Chess.com,2018.10.19,-,300+5,20:32:04,White,d4,ansvjohn,India,685,869,Lost,Resignation,20,11
338,Live Chess,Chess.com,2018.10.19,-,300+5,20:47:29,White,d4,Zach_T1ll3m4,United States,692,611,Won,Time,20,12
339,Live Chess,Chess.com,2018.10.19,-,300+5,21:05:57,White,d4,mushani1,Albania,702,762,Won,Resignation,21,13
340,Live Chess,Chess.com,2018.10.19,-,300+5,21:12:36,White,d4,Mihaimeed,United Kingdom,712,777,Won,Resignation,21,14
341,Live Chess,Chess.com,2018.10.19,-,300+5,21:30:10,Black,e4,FilipCarlbark,Sweden,719,662,Won,Checkmate,21,15
342,Live Chess,Chess.com,2018.10.19,-,300+5,21:54:45,Black,e3,Mariodlf,Mexico,711,708,Lost,Resignation,21,16
343,Live Chess,Chess.com,2018.10.19,-,300+5,22:11:29,Black,e4,schukran,International,720,747,Won,Time,22,17
344,Live Chess,Chess.com,2018.10.19,-,300+5,23:45:28,White,d4,manasana,United States,728,714,Won,Resignation,23,18
345,Live Chess,Chess.com,2018.10.20,-,300+5,00:15:48,Black,e4,uRIpper,Chile,719,773,Lost,Time,0,20
346,Live Chess,Chess.com,2018.10.20,-,300+5,00:30:30,Black,e4,jpatel60,United States,710,680,Lost,Resignation,0,21
347,Live Chess,Chess.com,2018.10.20,-,300+5,00:37:13,Black,e4,fafaperrita,Chile,704,818,Lost,Resignation,0,22
348,Live Chess,Chess.com,2018.10.20,-,300+5,01:23:25,White,d4,MosesJMcConnaughey,United States,711,626,Won,Resignation,1,23
349,Live Chess,Chess.com,2018.10.20,-,300+5,02:14:27,Black,e4,7amuda,Egypt,719,719,Won,Game abandoned,2,24
350,Live Chess,Chess.com,2018.10.20,-,300+5,02:30:13,White,d4,Mcwebsauce,United States,726,687,Won,Checkmate,2,25
351,Live Chess,Chess.com,2018.10.20,-,300+5,02:54:55,White,d4,SirPugsly,United States,734,713,Won,Checkmate,2,26
352,Live Chess,Chess.com,2018.10.20,-,300+5,03:04:01,Black,e4,Jesusbeliever127,United States,740,626,Won,Resignation,3,27
353,Live Chess,Chess.com,2018.10.20,-,300+5,14:14:52,Black,d4,patrish_pleb,Algeria,733,780,Lost,Checkmate,14,0
354,Live Chess,Chess.com,2018.10.20,-,300+5,14:30:50,White,d4,DikyZaHru,Czechia,725,732,Lost,Checkmate,14,1
355,Live Chess,Chess.com,2018.10.20,-,300+5,14:45:31,White,d4,JP_Majesty,Canada,730,602,Won,Time,14,2
356,Live Chess,Chess.com,2018.10.20,-,300+5,15:04:19,White,d4,ShlomiNatanov,Israel,739,779,Won,Checkmate,15,3
357,Live Chess,Chess.com,2018.10.20,-,300+5,15:47:12,White,d4,karimajk,France,731,712,Lost,Checkmate,15,5
358,Live Chess,Chess.com,2018.10.20,-,300+5,16:08:34,Black,d4,deathwalker8000,United States,740,752,Won,Checkmate,16,6
359,Live Chess,Chess.com,2018.10.20,-,300+5,19:51:35,Black,e4,Poqito,Spain,733,789,Lost,Checkmate,19,7
360,Live Chess,Chess.com,2018.10.20,-,300+5,20:09:24,Black,e4,Ahmedsam3,Canada,741,725,Won,Time,20,8
361,Live Chess,Chess.com,2018.10.20,-,300+5,20:25:54,White,d4,michaelstevens88,United Kingdom,752,857,Won,Checkmate,20,9
362,Live Chess,Chess.com,2018.10.20,-,300+5,21:04:15,Black,e4,Argenchessing,Argentina,758,671,Won,Checkmate,21,10
363,Live Chess,Chess.com,2018.10.20,-,300+5,21:15:23,White,d4,dima2134123,Russia,751,814,Lost,Resignation,21,11
364,Live Chess,Chess.com,2018.10.20,-,300+5,21:27:55,White,d4,slownold,United Kingdom,762,901,Won,Resignation,21,12
365,Live Chess,Chess.com,2018.10.20,-,300+5,21:49:44,Black,e4,tglmatt,United States,770,773,Won,Resignation,21,13
366,Live Chess,Chess.com,2018.10.20,-,300+5,22:08:56,White,d4,TobiK7,United Kingdom,777,721,Won,Resignation,22,14
367,Live Chess,Chess.com,2018.10.20,-,300+5,22:18:28,Black,e4,petemavros,Greece,769,774,Lost,Resignation,22,15
368,Live Chess,Chess.com,2018.10.20,-,300+5,22:23:21,White,d4,MakeKanyeGreatAgain,South Korea,764,891,Lost,Resignation,22,16
369,Live Chess,Chess.com,2018.10.21,-,300+5,00:37:47,Black,e4,NeODestroyer,Ukraine,758,843,Lost,Checkmate,0,17
370,Live Chess,Chess.com,2018.10.21,-,300+5,01:07:08,Black,e4,hghassemi1,United States,763,624,Won,Resignation,1,18
371,Live Chess,Chess.com,2018.10.21,-,300+5,01:30:21,White,d4,SashkaUvelir,Russia,753,696,Lost,Resignation,1,19
372,Live Chess,Chess.com,2018.10.21,-,300+5,01:45:59,White,d4,WhatsUpClown,United States,760,698,Won,Resignation,1,20
373,Live Chess,Chess.com,2018.10.21,-,300+5,01:48:45,Black,d4,Cyheureath,Australia,766,635,Won,Resignation,1,21
374,Live Chess,Chess.com,2018.10.21,-,300+5,01:53:19,Black,e4,a-san-chez,Spain,772,649,Won,Checkmate,1,22
375,Live Chess,Chess.com,2018.10.21,-,300+5,01:59:25,White,d4,SirErdrick,United States,782,840,Won,Resignation,1,23
376,Live Chess,Chess.com,2018.10.21,-,300+5,02:21:27,White,d4,Doogv,Netherlands,789,740,Won,Checkmate,2,24
377,Live Chess,Chess.com,2018.10.21,-,300+5,02:45:32,Black,d4,d3faultyboi,United States,797,619,Won,Checkmate,2,25
378,Live Chess,Chess.com,2018.10.21,-,300+5,03:26:23,White,d4,BobaFett07,United States,802,647,Won,Resignation,3,26
379,Live Chess,Chess.com,2018.10.21,-,300+5,14:39:48,White,d4,Dado3991,Italy,794,818,Lost,Checkmate,14,0
380,Live Chess,Chess.com,2018.10.21,-,300+5,14:54:53,White,d4,dimkaragian,Greece,802,769,Won,Resignation,14,1
381,Live Chess,Chess.com,2018.10.21,-,300+5,15:08:18,Black,e4,jhanzkie30,Philippines,796,912,Lost,Resignation,15,2
382,Live Chess,Chess.com,2018.10.21,-,300+5,15:24:11,Black,e4,pepe_the_frogg,Australia,804,807,Won,Game abandoned,15,3
383,Live Chess,Chess.com,2018.10.21,-,300+5,15:51:29,Black,e4,khuder01,Saudi Arabia,798,902,Lost,Resignation,15,4
384,Live Chess,Chess.com,2018.10.21,-,300+5,16:03:29,White,d4,HishamAnthrobot,Maldives,806,795,Won,Time,16,5
385,Live Chess,Chess.com,2018.10.21,-,300+5,16:15:59,Black,e4,utilizator_nubla,Russia,817,926,Won,Resignation,16,6
386,Live Chess,Chess.com,2018.10.21,-,300+5,17:19:16,Black,e4,TarikFetp,Morocco,822,614,Won,Checkmate,17,7
387,Live Chess,Chess.com,2018.10.21,-,300+5,17:31:12,White,d4,PKRipper1981,United States,829,774,Won,Time,17,8
388,Live Chess,Chess.com,2018.10.21,-,300+5,18:24:59,Black,e4,PensadorLP,Brazil,835,730,Won,Checkmate,18,9
389,Live Chess,Chess.com,2018.10.21,-,300+5,19:17:07,White,d4,richardjowen,United Kingdom,842,797,Won,Resignation,19,10
390,Live Chess,Chess.com,2018.10.21,-,300+5,19:31:37,Black,e3,i12mofla,United Kingdom,848,726,Won,Game abandoned,19,11
391,Live Chess,Chess.com,2018.10.21,-,300+5,20:04:37,White,d4,gfdsgfdsgfdsgfds,India,839,1001,Lost,Resignation,20,12
392,Live Chess,Chess.com,2018.10.21,-,300+5,20:21:11,White,d4,culon69,Russia,848,878,Won,Time,20,13
393,Live Chess,Chess.com,2018.10.21,-,300+5,20:42:11,White,d4,Josegrau,Spain,858,914,Won,Time,20,14
394,Live Chess,Chess.com,2018.10.21,-,300+5,21:07:33,Black,e4,PrinceAlpha,India,864,782,Won,Checkmate,21,15
395,Live Chess,Chess.com,2018.10.21,-,300+5,21:22:34,White,d4,pioner62,Russia,873,895,Won,Resignation,21,16
396,Live Chess,Chess.com,2018.10.21,-,300+5,21:40:28,Black,e4,crojo1,United States,877,680,Won,Resignation,21,17
397,Live Chess,Chess.com,2018.10.21,-,300+5,22:35:57,Black,d4,zeFresk,France,869,887,Lost,Checkmate,22,18
398,Live Chess,Chess.com,2018.10.21,-,300+5,22:38:07,Black,e4,DmytroKolomiyets,Ukraine,862,941,Lost,Checkmate,22,19
399,Live Chess,Chess.com,2018.10.21,-,300+5,22:51:17,White,d4,lanangcarlsenz,Indonesia,853,836,Lost,Checkmate,22,20
400,Live Chess,Chess.com,2018.10.21,-,300+5,23:04:46,Black,e4,towerjosch,Germany,844,821,Lost,Resignation,23,21
401,Live Chess,Chess.com,2018.10.21,-,300+5,23:28:44,White,d4,gggjjshha,Antigua &amp; Barbuda,851,903,Won,Game abandoned,23,23
402,Live Chess,Chess.com,2018.10.21,-,300+5,23:42:20,White,d4,corey2kool4u,United States,859,844,Won,Time,23,24
403,Live Chess,Chess.com,2018.10.22,-,300+5,01:47:58,Black,e4,Ehudhoc,United States,872,999,Won,Resignation,1,26
404,Live Chess,Chess.com,2018.10.22,-,300+5,02:03:12,White,d4,HOLAANOOBS,Argentina,865,939,Lost,Checkmate,2,27
405,Live Chess,Chess.com,2018.10.22,-,300+5,02:17:10,Black,e4,BesarD1,Kosovo,875,946,Won,Resignation,2,28
406,Live Chess,Chess.com,2018.10.22,-,300+5,02:27:37,White,d4,BesarD1,Kosovo,869,952,Lost,Checkmate,2,29
407,Live Chess,Chess.com,2018.10.22,-,300+5,02:50:17,Black,Nf3,DLambertSC1,United States,861,875,Lost,Checkmate,2,30
408,Live Chess,Chess.com,2018.10.22,-,300+5,04:27:27,White,d4,api31,Greece,853,885,Lost,Checkmate,4,0
409,Live Chess,Chess.com,2018.10.22,-,300+5,04:34:36,Black,e4,reversegambit,United States,846,892,Lost,Resignation,4,1
410,Live Chess,Chess.com,2018.10.22,-,300+5,04:51:12,Black,d4,madcatop,United States,837,793,Lost,Resignation,4,2
411,Live Chess,Chess.com,2018.10.22,-,300+5,15:04:25,Black,e4,prakharindiachamp,India,830,880,Lost,Resignation,15,3
412,Live Chess,Chess.com,2018.10.22,-,300+5,16:58:24,White,d4,OltionZepishta,United States,834,646,Won,Checkmate,16,4
413,Live Chess,Chess.com,2018.10.22,-,300+5,17:17:42,White,d4,dsdeckard,United States,843,861,Won,Resignation,17,5
414,Live Chess,Chess.com,2018.10.22,-,300+5,17:23:10,White,d4,jelle1998,Netherlands,839,1017,Lost,Resignation,17,6
415,Live Chess,Chess.com,2018.10.22,-,300+5,19:41:29,Black,e4,idoab9,Israel,850,959,Won,Resignation,19,7
416,Live Chess,Chess.com,2018.10.22,-,300+5,19:57:50,White,d4,SleepyLab,Canada,844,924,Lost,Checkmate,19,8
417,Live Chess,Chess.com,2018.10.22,-,300+5,20:11:06,Black,e4,Chevaloduc,France,838,936,Lost,Resignation,20,9
418,Live Chess,Chess.com,2018.10.22,-,300+5,20:25:38,White,e4,jga1,Basque Country,832,949,Lost,Resignation,20,10
419,Live Chess,Chess.com,2018.10.23,-,300+5,02:17:49,Black,e4,dves90,Serbia,839,798,Won,Resignation,2,11
